מאימתי,ברכות,א,ב.
היה קורא,ברכות,ב,יג.
מי שמתו,ברכות,ג,יז:
תפילת השחר,ברכות,ד,כו.
אין עומדין,ברכות,ה,ל:
כיצד מברכין,ברכות,ו,לה.
שלשה שאכלו,ברכות,ז,מה.
אלו דברים,ברכות,ח,נא:
הרואה,ברכות,ט,נד.
יציאות השבת,שבת,א,ב.
במה מדליקין,שבת,ב,כ:
כירה,שבת,ג,לו:
