מאימתי,ברכות,א,ב.
היה קורא,ברכות,ב,יג.
מי שמתו,ברכות,ג,יז:
תפילת השחר,ברכות,ד,כו.
אין עומדין,ברכות,ה,ל:
כיצד מברכין,ברכות,ו,לה.
שלשה שאכלו,ברכות,ז,מה.
אלו דברים,ברכות,ח,נא:
הרואה,ברכות,ט,נד.
הרואה,שבת,א,ב.
